trial,cv_rmse_mean,cv_rmse_std,cv_ic_mean,cv_ic_std,cv_best_iteration_mean,n_estimators,learning_rate,max_depth,min_child_weight,gamma,subsample,colsample_bytree,reg_alpha,reg_lambda
17,94.43625649742222,85.44608270431198,0.7329106865558352,0.07200860982734858,198.0,900,0.013980880749573609,2,19.62331037999536,1.98838169790698,0.8701129340009544,0.7630937412953283,4.301893107058401,0.2676478850246532
16,94.49882583481102,85.4846377327983,0.727506352024672,0.07737283390225627,173.77777777777777,800,0.015153359740828763,2,19.904949530665395,1.9733692238325127,0.8766059906142417,0.7778535043029461,2.322868367995545,0.20766004204921004
15,94.53415231026342,85.41899198447985,0.7432959521030755,0.05842806049649415,175.11111111111111,700,0.015947549619825523,2,17.6226709657941,1.4849793250110637,0.8675581326058003,0.7708578920065441,1.3203901339271409,3.588114375890581
18,94.56828403361239,85.49853784925493,0.7136015297127831,0.08055943996018455,169.55555555555554,900,0.01499117054103849,2,19.939783612202454,1.9973441626517368,0.8885672306304557,0.7175396975876852,6.8791463034754186,0.003906047189097443
21,94.63983242822766,85.30168739656524,0.7321971977611389,0.07047625327311123,157.55555555555554,800,0.01588518763304455,2,17.710711828877002,1.712079162812703,0.8640406071288969,0.7587805716403505,1.2307189204504974,0.19122269067388628
24,94.72120589242377,85.39849285444775,0.737734263026137,0.08726086157462108,89.66666666666667,600,0.028699701408175616,2,19.947229104118254,1.5455200804485574,0.989994178785107,0.810693287920468,3.1549333428174093,0.9123534659496192
22,94.8456732502826,85.43343184171712,0.7505500688996146,0.06239144114527538,88.66666666666667,700,0.026210051428672995,2,16.482034068572254,1.5743982823762397,0.8427527971215537,0.7880332323698723,2.4138843624689037,1.013900584769126
23,94.93417137552393,85.12898961007419,0.7643710008900318,0.08153068987038399,172.11111111111111,1000,0.01517071662730581,3,18.921759551413054,1.8481070715299044,0.9201341062277645,0.7349256221746306,0.3339625020884291,0.09044609984966766
19,94.9656936783618,85.00366416155573,0.7832599459855382,0.07784118766420067,171.0,1000,0.012203712081604277,3,17.08567798547815,1.9915856213137981,0.8819263892241038,0.8200217585692883,1.0389424461195695,0.15899602201063648
13,95.0842695870651,85.16734946406703,0.805125286192665,0.05736762715950415,121.88888888888889,700,0.020603897169950352,4,13.715601695606008,1.3816548701180105,0.6317719187672313,0.8962336545960803,0.05034095375823609,6.478058345624325
14,95.18797118891094,84.88141837791949,0.7811494113052357,0.06209900986981774,129.77777777777777,700,0.020101569014595016,4,14.435148413101677,1.4733866115074965,0.742686640053251,0.7505252465802681,0.15248399249323977,5.434719556084379
20,95.45894073534359,84.49364227832615,0.750392376274985,0.052089918764976005,123.66666666666667,800,0.013464797540520726,8,17.864523568825966,1.7589889000745396,0.9425637182743306,0.6490898066921028,0.9453295799967816,0.012911163576516489
7,95.65029932876122,84.63627707355747,0.7869793166647716,0.04705697455803042,192.77777777777777,500,0.024059762961446938,4,11.826545378336114,1.226872059764835,0.7146132024326677,0.6007881895391002,1.1560010917708972e-05,28.004990144308
6,95.66736855846376,84.27725629440246,0.8100661047933592,0.03891017387696879,71.33333333333333,1100,0.10680279676226764,4,2.8325229847917157,0.33127946442000145,0.6552005461685474,0.8694942171593739,0.019514105916951806,27.335302524372906
8,95.76621120295938,84.56599169872793,0.7756812579178465,0.04841599091284851,66.22222222222223,1100,0.03286493297794033,4,15.580673602838441,1.097590211406962,0.8070790238846918,0.5689305806075042,2.977909051145885e-05,0.00026977781812142576
10,95.93947555573045,84.62270328821488,0.7868795165145853,0.034963106707321966,253.11111111111111,600,0.01852952951611962,2,19.10573334099716,1.601524712926638,0.5548535799024465,0.6878360061776452,1.9975377594873792e-05,43.426813908356195
11,96.03572402657872,84.61995346804065,0.8111810726690023,0.041493228024434475,55.666666666666664,600,0.11938617767013336,3,2.0339101108928634,0.9157616861007709,0.5978852326618654,0.9332899364527719,0.1497042183117229,39.89143682785752
9,96.17825255772955,84.36251306546913,0.7863174562317751,0.046663599795835696,38.55555555555556,900,0.04153274686548549,6,14.352924087349336,0.5091550190200549,0.8178608865938608,0.8346357709949452,0.0032836262313006253,0.39735908283498256
2,96.36734797901711,83.95418788748854,0.8031304430622076,0.03147787016805591,85.77777777777777,1100,0.0209002398117685,5,10.12693325136745,1.3017154214375015,0.6885091138491091,0.7951058832762342,7.83613472546841,1.7309948261048427
12,96.4742262527746,84.06514024510278,0.7789049032767138,0.054361287512094326,27.333333333333332,1200,0.0812432077533753,3,10.999022425365007,0.9115750530592319,0.6657306523694997,0.6995533719849468,0.07860469069231017,3.5331427677241476
4,96.58133941423394,83.22794071216343,0.7901302577115881,0.0455869657479657,93.0,300,0.01082474134398743,5,3.250964601159925,0.01673399874641457,0.8019590496918932,0.8649181923695604,0.0006320724807969931,0.038168546100620766
1,96.8662906930565,83.52346649396281,0.7238266278469764,0.06418873131469285,29.88888888888889,800,0.05761895734061284,6,10.811475887062194,0.5735007693409924,0.696398311500998,0.5891505329209349,0.0019043800040993756,0.0015039972886718004
5,96.93246802080394,83.11764621432296,0.8012627146041726,0.05491460675519351,9.555555555555555,400,0.11500066357943846,6,6.391368844379102,0.037343136511285735,0.7732443765107546,0.9688312921988907,0.0027216190179175557,0.0003931534119406233
