quarter_end,long_return,short_asset_return,short_return,long_short_return,long_ret_cum,short_ret_cum,ls_ret_cum,long_equity_curve,short_equity_curve,ls_equity_curve,equity_curve,is_initial_row
2022-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,True
2023-03-31,0.19927612389930333,0.13035824227891138,-0.13035824227891138,0.03445894081019597,0.19927612389930327,-0.13035824227891135,0.03445894081019607,1.1992761238993033,0.8696417577210886,1.034458940810196,1.034458940810196,False
2023-06-30,-0.015130912174129697,-0.09405356068911294,0.09405356068911294,0.039461324257491624,0.18112998219605236,-0.04856533844130417,0.0752800605045687,1.1811299821960524,0.9514346615586958,1.0752800605045687,1.0752800605045687,False
2023-09-30,0.11133918228475381,0.21711724870320032,-0.21711724870320032,-0.05288903320922325,0.31263602858576656,-0.2551382144797887,0.018409537675327048,1.3126360285857666,0.7448617855202113,1.018409537675327,1.018409537675327,False
2023-12-31,0.07915412360737013,0.0969235644580522,-0.0969235644580522,-0.008884720425341032,0.4165365830439316,-0.32733287376099673,0.009361253654580848,1.4165365830439316,0.6726671262390033,1.0093612536545808,1.0093612536545808,False
2024-03-31,-0.03310845585043689,-0.15636724684672373,0.15636724684672373,0.06162939549814342,0.3696372441236928,-0.22214976718670632,0.07156757755656096,1.3696372441236928,0.7778502328132937,1.071567577556561,1.071567577556561,False
2024-06-30,0.04028909421418501,-0.14566972455676158,0.14566972455676158,0.09297940938547329,0.42481868809144885,-0.10884053802638105,0.1712012980343922,1.4248186880914488,0.891159461973619,1.1712012980343922,1.1712012980343922,False
2024-09-30,-0.045941370040525745,-0.05705936853295044,0.05705936853295044,0.005558999246212348,0.3593605655011831,-0.05799154186400257,0.17771200516732844,1.3593605655011831,0.9420084581359974,1.1777120051673284,1.1777120051673284,False
2024-12-31,-0.014123394966806901,0.04118905194133251,-0.04118905194133251,-0.027656223454069706,0.34016177933230796,-0.09679197717534072,0.14514093878788037,1.340161779332308,0.9032080228246593,1.1451409387878804,1.1451409387878804,False
2025-03-31,-0.032758708787932966,0.19190036818583797,-0.19190036818583797,-0.11232953848688547,0.2962598098744429,-0.27011792930379563,0.016507785631399097,1.296259809874443,0.7298820706962044,1.016507785631399,1.016507785631399,False
2025-06-30,0.08140492147957916,0.09827255326269468,-0.09827255326269468,-0.008433815891557762,0.40178173791440597,-0.34184530397177426,0.00793474611504874,1.401781737914406,0.6581546960282257,1.0079347461150487,1.0079347461150487,False
2025-09-30,0.031927706820376246,0.013489589941980462,-0.013489589941980462,0.009219058439197892,0.44653741426869464,-0.3507235409395838,0.017226955442381398,1.4465374142686946,0.6492764590604162,1.0172269554423814,1.0172269554423814,False
2025-12-31,0.06690948719073356,-0.20587822460821328,0.20587822460821328,0.13639385589947342,0.5433244908596229,-0.21705165626831802,0.15597046222004973,1.5433244908596229,0.782948343731682,1.1559704622200497,1.1559704622200497,False
2026-03-31,0.0,0.0,-0.0,0.0,0.5433244908596229,-0.21705165626831802,0.15597046222004973,1.5433244908596229,0.782948343731682,1.1559704622200497,1.1559704622200497,False
