quarter_end,long_count,short_count,flat_count,long_return,short_asset_return,short_return,long_short_return,long_ret_cum,short_ret_cum,ls_ret_cum,long_equity_curve,short_equity_curve,ls_equity_curve,equity_curve,is_initial_row
2022-12-31,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,True
2023-03-31,26,44,34,0.11304618615224486,-0.005130888089372295,0.005130888089372295,0.05908853712080858,0.11304618615224493,0.005130888089372343,0.059088537120808526,1.113046186152245,1.0051308880893723,1.0590885371208085,1.0590885371208085,False
2023-06-30,33,45,27,-0.04002202919341911,-0.05253099878393089,0.05253099878393089,0.00625448479525589,0.06849981919643588,0.057931417549286435,0.06571259027306042,1.0684998191964359,1.0579314175492864,1.0657125902730604,1.0657125902730604,False
2023-09-30,17,78,13,0.07932498195852286,0.14151198549231805,-0.14151198549231805,-0.031093501766897597,0.15325854807687822,-0.09177855786281564,0.03257585396439988,1.1532585480768782,0.9082214421371844,1.0325758539643999,1.0325758539643999,False
2023-12-31,50,39,18,0.09329020164124165,0.0688477544560781,-0.0688477544560781,0.012221223592581772,0.2608462705714556,-0.1543075647028217,0.04519519435199992,1.2608462705714556,0.8456924352971783,1.045195194352,1.045195194352,False
2024-03-31,42,38,29,0.0014236402376570565,-0.023878646015808535,0.023878646015808535,0.012651143126732796,0.262641262055741,-0.13411357440211336,0.05841810835112038,1.262641262055741,0.8658864255978866,1.0584181083511204,1.0584181083511204,False
2024-06-30,16,67,26,0.09552728013509663,0.08494794281428926,-0.08494794281428926,0.0052896686604036874,0.38325794760627163,-0.20766884496747195,0.06401678944846889,1.3832579476062716,0.792331155032528,1.064016789448469,1.064016789448469,False
2024-09-30,66,26,17,-0.039326998013961355,0.03716172413886558,-0.03716172413886558,-0.03824436107641346,0.3288585650479636,-0.23711323677741947,0.023324147161435382,1.3288585650479636,0.7628867632225805,1.0233241471614354,1.0233241471614354,False
2024-12-31,15,64,28,-0.11489432279708085,0.0035888087530630136,-0.0035888087530630136,-0.05924156577507193,0.17618026012367727,-0.23985109147086858,-0.03729917761184809,1.1761802601236773,0.7601489085291314,0.9627008223881519,0.9627008223881519,False
2025-03-31,21,54,31,-0.01761225057260637,0.05935071328812516,-0.05935071328812516,-0.03848148193036577,0.15546507866382564,-0.2849664713972623,-0.07434533191292603,1.1554650786638256,0.7150335286027377,0.925654668087074,0.925654668087074,False
2025-06-30,27,62,17,0.06520466961484214,-0.013460030480094686,0.013460030480094686,0.03933235004746841,0.23080679736958798,-0.27534209830797973,-0.037937158484651956,1.230806797369588,0.7246579016920203,0.962062841515348,0.962062841515348,False
2025-09-30,21,48,36,0.08185674781126934,0.01840223972940321,-0.01840223972940321,0.031727254040933066,0.3315566389862663,-0.2886774267367226,-0.007413546308552621,1.3315566389862663,0.7113225732632774,0.9925864536914474,0.9925864536914474,False
2025-12-31,22,45,39,0.013518720588030476,-0.04411789564818543,0.04411789564818543,0.028818308118107955,0.34955758113585866,-0.25729537167729466,0.021191115947787553,1.3495575811358587,0.7427046283227053,1.0211911159477876,1.0211911159477876,False
2026-03-31,12,35,8,0.0,0.0,-0.0,0.0,0.34955758113585866,-0.25729537167729466,0.021191115947787553,1.3495575811358587,0.7427046283227053,1.0211911159477876,1.0211911159477876,False
