quarter_end,long_return,short_asset_return,short_return,long_short_return,long_ret_cum,short_ret_cum,ls_ret_cum,long_equity_curve,short_equity_curve,ls_equity_curve,equity_curve,is_initial_row
2022-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,True
2023-03-31,0.19927612389930333,0.08262761019549372,-0.08262761019549372,0.0583242568519048,0.19927612389930327,-0.0826276101954937,0.0583242568519049,1.1992761238993033,0.9173723898045063,1.058324256851905,1.058324256851905,False
2023-06-30,-0.015130912174129697,-0.05992052932026466,0.05992052932026466,0.022394808573067485,0.18112998219605236,-0.027658171014611432,0.08202522599233708,1.1811299821960524,0.9723418289853886,1.082025225992337,1.082025225992337,False
2023-09-30,0.06773264503997478,0.19598483226179572,-0.19598483226179572,-0.06412609361091047,0.26113104002620924,-0.21822242126944047,0.012639175060985997,1.2611310400262092,0.7817775787305595,1.012639175060986,1.012639175060986,False
2023-12-31,0.08066038203729017,0.09842297657437926,-0.09842297657437926,-0.008881297268544544,0.3628543515138083,-0.2951672975872133,0.00364562552149561,1.3628543515138083,0.7048327024127867,1.0036456255214956,1.0036456255214956,False
2024-03-31,-0.03310845585043689,-0.1490904844118483,0.1490904844118483,0.0579910142807057,0.3177323483861376,-0.19008344855517878,0.061848053323880325,1.3177323483861376,0.8099165514448212,1.0618480533238803,1.0618480533238803,False
2024-06-30,-0.015778627964412095,-0.11532022203172095,0.11532022203172095,0.049770797033654425,0.2969403399042816,-0.09668369201539628,0.1146970772664444,1.2969403399042816,0.9033163079846037,1.1146970772664444,1.1146970772664444,False
2024-09-30,-0.045941370040525745,-0.05705936853295044,0.05705936853295044,0.005558999246212348,0.2373571238282537,-0.04514103389627866,0.1208936774787237,1.2373571238282537,0.9548589661037213,1.1208936774787237,1.1208936774787237,False
2024-12-31,-0.023850843248567587,-0.05551789781631813,0.05551789781631813,0.01583352728387527,0.2078451130253276,0.007870728612862976,0.13864137810340638,1.2078451130253276,1.007870728612863,1.1386413781034064,1.1386413781034064,False
2025-03-31,-0.032758708787932966,0.19190036818583797,-0.19190036818583797,-0.11232953848688547,0.1682776667068029,-0.1855400352916743,0.010738317598979474,1.1682776667068029,0.8144599647083257,1.0107383175989795,1.0107383175989795,False
2025-06-30,0.08140492147957916,0.09827255326269468,-0.09827255326269468,-0.008433815891557762,0.26338121843141615,-0.26557909555380566,0.0022139367138067634,1.2633812184314162,0.7344209044461943,1.0022139367138068,1.0022139367138068,False
2025-09-30,0.05129505193328239,-0.06747441544957775,0.06747441544957775,0.05938473369143007,0.32818642364238926,-0.2160244743323485,0.06173014444739611,1.3281864236423893,0.7839755256676515,1.061730144447396,1.061730144447396,False
2025-12-31,0.06690948719073356,-0.20587822460821328,0.20587822460821328,0.13639385589947342,0.4170546961419961,-0.054620984971601616,0.20654361277328137,1.417054696141996,0.9453790150283984,1.2065436127732814,1.2065436127732814,False
2026-03-31,0.0,0.0,-0.0,0.0,0.4170546961419961,-0.054620984971601616,0.20654361277328137,1.417054696141996,0.9453790150283984,1.2065436127732814,1.2065436127732814,False
